name,price,color,visual,functional,box
Apple iPhone 5S 64GB,317.52000000000004,Silver,Grade B,Working,Unboxed
Apple iPhone 5S 64GB,294.0,Grey,Grade C+,Working,Unboxed
Apple iPhone 5S 64GB,199.92,Grey,Grade C,Minor Fault,Unboxed
Apple iPhone 5S 64GB,317.52000000000004,Gold,Grade B,Working,Unboxed
Apple iPhone 6 128GB,435.11999999999995,Grey,Grade C+,Working,Unboxed
Apple iPhone 6 128GB,776.16,Gold,Brand New,Working,Boxed
Apple iPhone 6 16GB,564.4799999999999,Silver,Brand New,Working,Boxed
Apple iPhone 6 16GB,470.4,Silver,Swap,Working,Unboxed
Apple iPhone 6 16GB,317.52000000000004,Silver,Grade C+,Working,Unboxed
Apple iPhone 6 16GB,364.56,Silver,Grade B,Working,Unboxed
Apple iPhone 6 16GB,470.4,Grey,Swap,Working,Unboxed
Apple iPhone 6 16GB,442.176,Grey,Grade A+,Working,Unboxed
Apple iPhone 6 16GB,411.59999999999997,Grey,Grade A,Working,Unboxed
Apple iPhone 6 16GB,364.56,Grey,Grade B,Working,Unboxed
Apple iPhone 6 16GB,470.4,Gold,Swap,Working,Unboxed
Apple iPhone 6 16GB,317.52000000000004,Gold,Grade C+,Working,Unboxed
Apple iPhone 6 32GB,376.32,Grey,Grade C+,Working,Unboxed
Apple iPhone 6 32GB,446.87999999999994,Grey,Grade B,Working,Unboxed
Apple iPhone 6 64GB,505.67999999999995,Silver,Grade A,Working,Unboxed
Apple iPhone 6 64GB,430.416,Silver,Grade B,Working,Boxed
Apple iPhone 6 64GB,341.03999999999996,Silver,Grade C,Working,Unboxed
Apple iPhone 6 64GB,376.32,Grey,Grade C+,Working,Unboxed
Apple iPhone 6 64GB,395.13599999999997,Grey,Grade B,Working,Unboxed
Apple iPhone 6 64GB,505.67999999999995,Gold,Grade A,Working,Unboxed
Apple iPhone 6 64GB,341.03999999999996,Gold,Grade C,Working,Unboxed
Apple iPhone 6 Plus 128GB,564.4799999999999,Grey,Grade C,Working,Unboxed
Apple iPhone 6 Plus 16GB,729.12,Silver,Brand New,Working,Boxed
Apple iPhone 6 Plus 16GB,599.76,Silver,Grade A,Working,Unboxed
Apple iPhone 6 Plus 16GB,482.15999999999997,Silver,Grade B,Working,Unboxed
Apple iPhone 6 Plus 16GB,399.84,Silver,Grade C,Working,Unboxed
Apple iPhone 6 Plus 16GB,435.11999999999995,Grey,Grade C+,Working,Unboxed
Apple iPhone 6 Plus 16GB,646.8,Grey,Grade A+,Working,Unboxed
Apple iPhone 6 Plus 16GB,599.76,Grey,Grade A,Working,Unboxed
Apple iPhone 6 Plus 16GB,482.15999999999997,Grey,Grade B,Working,Unboxed
Apple iPhone 6 Plus 16GB,435.11999999999995,Gold,Grade C+,Working,Unboxed
Apple iPhone 6 Plus 16GB,646.8,Gold,Grade A+,Working,Unboxed
Apple iPhone 6 Plus 16GB,599.76,Gold,Grade A,Working,Unboxed
Apple iPhone 6 Plus 16GB,482.15999999999997,Gold,Grade B,Working,Unboxed
Apple iPhone 6 Plus 16GB,399.84,Gold,Grade C,Working,Unboxed
Apple iPhone 6 Plus 64GB,646.8,Grey,Grade B,Working,Unboxed
Apple iPhone 6 Plus 64GB,540.96,Grey,Grade C,Working,Unboxed
Apple iPhone 6 Plus 64GB,611.52,Gold,Grade C+,Working,Unboxed
Apple iPhone 6S 16GB,682.0799999999999,Rose Gold,Brand New,Working,Boxed
Apple iPhone 6S 16GB,682.0799999999999,Rose Gold,Brand New,Working,Boxed
Apple iPhone 6S 16GB,529.1999999999999,Rose Gold,Grade A+,Working,Unboxed
Apple iPhone 6S 16GB,482.15999999999997,Rose Gold,Grade A,Working,Unboxed
Apple iPhone 6S 16GB,435.11999999999995,Rose Gold,Grade B,Working,Unboxed
Apple iPhone 6S 16GB,435.11999999999995,Silver,Grade B,Working,Unboxed
Apple iPhone 6S 16GB,435.11999999999995,Grey,Grade B,Working,Unboxed
Apple iPhone 6S 32GB,611.52,Silver,Grade A+,Working,Unboxed
Apple iPhone 6S Plus 16GB,635.0400000000001,Rose Gold,Grade A+,Working,Unboxed
Apple iPhone 6S Plus 16GB,540.96,Rose Gold,Grade B,Working,Unboxed
Apple iPhone 6S Plus 16GB,752.64,Silver,Brand New,Working,Boxed
Apple iPhone 6S Plus 16GB,682.0799999999999,Grey,Grade A+,Working,Boxed
Apple iPhone 6S Plus 16GB,635.0400000000001,Grey,Grade A+,Working,Unboxed
Apple iPhone 6S Plus 16GB,588.0,Grey,Grade B,Working,Boxed
Apple iPhone 6S Plus 16GB,458.64,Grey,Grade C,Working,Unboxed
Apple iPhone 6S Plus 16GB,752.64,Gold,Brand New,Working,Boxed
Apple iPhone 6S Plus 16GB,752.64,Gold,Brand New,Working,Boxed
